Time,Wave Probe C,Wave Probe G,Wave Probe L
233.25,-115.725951,-60.35500682,-109.0433447
233.3125,-118.285951,-57.40050682,-105.4213447
233.375,-111.101951,-50.70250682,-101.5753447
233.4375,-101.133951,-34.61500682,-95.91034468
233.5,-90.63795101,-7.405506819,-91.00174468
233.5625,-81.67795101,21.79949318,-87.15534468
233.625,-70.90995101,44.08999318,-71.19034468
233.6875,-54.26995101,60.91999318,-51.10534468
233.75,-26.89395101,68.59249318,-29.73284468
233.8125,3.330048993,66.61249318,-7.82924468
233.875,34.56204899,60.17749318,10.96824532
233.9375,65.01004899,61.16749318,23.05465532
234,91.13804899,70.30949318,36.44465532
234.0625,111.602049,81.95749318,56.27215532
234.125,124.930049,96.04949318,69.14715532
234.1875,133.122049,110.4044932,80.21965532
234.25,131.570049,130.2194932,96.69965532
234.3125,125.954049,143.5694932,117.5736553
234.375,117.762049,141.0944932,128.8876553
234.4375,112.114049,127.9774932,133.2806553
234.5,108.034049,123.2894932,137.1276553
234.5625,102.402049,122.7944932,133.7956553
234.625,99.82604899,111.3944932,121.9346553
234.6875,99.07404899,105.4694932,103.3946553
234.75,104.946049,124.0324932,89.23215532
234.8125,105.970049,157.6774932,92.08075532
234.875,102.146049,164.3594932,95.66965532
234.9375,103.666049,135.8974932,88.71715532
235,102.898049,113.1424932,80.21965532
235.0625,100.850049,115.6174932,85.88465532
235.125,97.52204899,135.4024932,105.7126553
235.1875,109.314049,108.6874932,122.1926553
235.25,125.186049,50.27749318,121.1626553
235.3125,127.474049,21.79949318,112.4076553
235.375,118.786049,21.31999318,108.0456553
235.4375,121.842049,10.42996318,118.3296553
235.5,132.866049,-34.12000682,129.9176553
235.5625,118.018049,-68.02750682,117.0586553
235.625,71.92204899,-76.93750682,91.82325532
235.6875,40.94604899,-68.02750682,80.73465532
235.75,31.21804899,-63.34050682,75.34325532
235.8125,20.73804899,-68.77000682,61.42215532
235.875,-0.525951007,-78.43800682,34.40075532
235.9375,-19.46995101,-66.29500682,11.72465532
236,-27.91795101,-13.84050682,-4.75534468
236.0625,-38.14195101,40.11449318,-22.76424468
236.125,-59.40595101,49.02449318,-33.59534468
236.1875,-79.10195101,33.18449318,-43.89534468
236.25,-82.95795101,26.26999318,-50.84784468
236.3125,-67.08595101,30.21449318,-52.13534468
236.375,-48.65395101,20.80949318,-51.62034468
236.4375,-44.04595101,-21.49750682,-51.62034468
236.5,-51.46995101,-62.10300682,-62.43534468
236.5625,-56.31795101,-73.96750682,-72.71924468
236.625,-53.24595101,-73.72000682,-80.44424468
236.6875,-46.84595101,-79.42800682,-78.91534468
236.75,-46.07795101,-97.97500682,-68.87284468
236.8125,-43.27795101,-115.0525068,-61.92034468
236.875,-32.52595101,-120.0185068,-64.47924468
236.9375,-32.52595101,-118.7805068,-73.49174468
237,-43.02195101,-122.9725068,-71.19034468
237.0625,-55.80595101,-133.6305068,-57.78424468
237.125,-61.69395101,-138.5805068,-47.74174468
237.1875,-60.17395101,-123.7155068,-49.02924468
237.25,-54.78195101,-93.53550682,-55.20924468
237.3125,-46.60595101,-52.93000682,-55.98174468
237.375,-25.35795101,-24.23550682,-50.84784468
237.4375,4.850048993,-3.430036819,-42.07674468
237.5,9.986048993,47.53949318,-34.62534468
237.5625,-10.25395101,113.3744932,-36.68534468
237.625,-42.50995101,150.2524932,-35.39784468
237.6875,-68.36595101,138.1394932,-22.76424468
237.75,-83.46995101,129.4774932,-0.36175468
237.8125,-98.31795101,132.9274932,18.43575532
237.875,-105.469951,150.4994932,20.22215532
237.9375,-98.57395101,159.6574932,8.90824532
238,-78.33395101,150.9944932,-6.28425468
238.0625,-51.98195101,129.7244932,-12.48034468
238.125,-15.86995101,94.06949318,-16.32674468
238.1875,20.97804899,65.11199318,-20.46284468
238.25,75.01004899,42.60499318,-18.14534468
238.3125,144.114049,20.31449318,-4.75534468
238.375,204.786049,-8.395506819,11.72465532
238.4375,237.554049,-25.47300682,35.43075532
238.5,229.618049,-22.50300682,65.04325532
238.5625,211.698049,-19.27000682,82.55325532
238.625,208.898049,-28.92250682,117.0586553
238.6875,207.106049,-45.52050682,177.5546553
238.75,191.746049,-50.95000682,225.2086553
238.8125,163.570049,-46.26300682,216.7106553
238.875,125.442049,-45.52050682,178.5846553
238.9375,82.69004899,-58.37500682,133.7956553
239,37.36204899,-75.70000682,83.58325532
239.0625,-8.717951007,-85.86300682,43.15575532
239.125,-56.82995101,-91.04500682,17.38965532
239.1875,-96.50995101,-93.78300682,-5.01284468
239.25,-121.085951,-102.4455068,-27.67284468
239.3125,-139.277951,-112.5935068,-58.81424468
239.375,-151.053951,-113.0725068,-94.36534468
239.4375,-163.069951,-105.4005068,-120.8713447
239.5,-179.709951,-89.80750682,-142.5183447
239.5625,-186.621951,-77.94300682,-152.3033447
239.625,-182.285951,-62.10300682,-158.9983447
239.6875,-167.677951,-24.97800682,-163.3593447
239.75,-148.493951,30.70949318,-167.2383447
239.8125,-126.221951,78.72449318,-165.9503447
